-13.045,-31.194,-25.954
-12.935,-31.239,-25.804
-12.837,-31.27,-25.671
-12.747,-31.292,-25.553
-12.666,-31.307,-25.448
-12.591,-31.316,-25.352
-12.522,-31.322,-25.264
-12.457,-31.325,-25.183
-12.397,-31.326,-25.107
-12.34,-31.326,-25.036
-12.286,-31.326,-24.969
-12.235,-31.324,-24.905
-12.185,-31.323,-24.844
-12.138,-31.321,-24.786
-12.093,-31.319,-24.73
-12.049,-31.316,-24.677
-12.007,-31.314,-24.625
-11.966,-31.312,-24.574
-11.927,-31.309,-24.526
-11.888,-31.306,-24.478
-11.851,-31.303,-24.432
-11.815,-31.299,-24.388
-11.779,-31.295,-24.344
-11.745,-31.291,-24.302
-11.711,-31.286,-24.26
-11.678,-31.282,-24.22
-11.628,-31.273,-24.158
-11.562,-31.26,-24.077
-11.5,-31.245,-24
-11.44,-31.228,-23.926
-11.383,-31.21,-23.856
-11.329,-31.191,-23.788
-11.277,-31.171,-23.722
-11.227,-31.15,-23.659
-11.18,-31.128,-23.597
-11.134,-31.107,-23.537
-11.09,-31.085,-23.479
-11.048,-31.063,-23.422
-10.998,-31.036,-23.353
-10.945,-31.007,-23.279
-10.895,-30.978,-23.206
-10.847,-30.951,-23.135
-10.801,-30.924,-23.066
-10.757,-30.899,-22.997
-10.714,-30.876,-22.93
-10.673,-30.853,-22.864
-10.633,-30.831,-22.799
-10.587,-30.807,-22.722
-10.542,-30.783,-22.646
-10.498,-30.761,-22.571
-10.455,-30.741,-22.498
-10.413,-30.721,-22.426
-10.372,-30.701,-22.355
-10.332,-30.683,-22.285
-10.287,-30.662,-22.208
-10.243,-30.642,-22.132
-10.2,-30.623,-22.057
-10.158,-30.603,-21.983
-10.117,-30.584,-21.911
-10.076,-30.565,-21.84
-10.033,-30.544,-21.765
-9.9891,-30.523,-21.689
-9.9467,-30.502,-21.614
-9.9051,-30.481,-21.541
-9.8646,-30.46,-21.468
-9.8246,-30.439,-21.396
-9.7822,-30.416,-21.319
-9.7409,-30.394,-21.244
-9.7008,-30.372,-21.169
-9.6617,-30.351,-21.095
-9.6237,-30.33,-21.023
-9.5835,-30.308,-20.945
-9.5445,-30.287,-20.868
-9.5066,-30.266,-20.792
-9.4697,-30.246,-20.717
-9.433,-30.227,-20.641
-9.3956,-30.208,-20.562
-9.3592,-30.19,-20.484
-9.3238,-30.173,-20.406
-9.2893,-30.157,-20.329
-9.254,-30.142,-20.249
-9.2194,-30.127,-20.169
-9.1859,-30.115,-20.089
-9.1532,-30.103,-20.01
-9.1203,-30.092,-19.929
-9.088,-30.082,-19.847
-9.0566,-30.074,-19.766
-9.0263,-30.067,-19.686
-8.9958,-30.06,-19.603
-8.9662,-30.055,-19.52
-8.9376,-30.051,-19.438
-8.91,-30.047,-19.356
-8.8824,-30.044,-19.271
-8.8559,-30.042,-19.187
-8.8306,-30.041,-19.104
-8.8059,-30.04,-19.02
-8.7818,-30.04,-18.935
-8.7589,-30.04,-18.851
-8.7371,-30.041,-18.767
-8.7157,-30.041,-18.681
-8.6954,-30.042,-18.595
-8.6762,-30.043,-18.511
-8.6578,-30.044,-18.425
-8.6402,-30.045,-18.338
-8.6237,-30.046,-18.253
-8.6081,-30.047,-18.167
-8.5932,-30.048,-18.08
-8.5793,-30.049,-17.993
-8.5663,-30.049,-17.907
-8.554,-30.05,-17.82
-8.5426,-30.051,-17.733
-8.532,-30.051,-17.647
-8.522,-30.052,-17.559
-8.5129,-30.052,-17.472
-8.5044,-30.053,-17.385
-8.4966,-30.054,-17.297
-8.4894,-30.055,-17.21
-8.4829,-30.056,-17.123
-8.477,-30.057,-17.035
-8.4717,-30.059,-16.948
-8.4669,-30.062,-16.86
-8.4627,-30.065,-16.773
-8.4591,-30.069,-16.686
-8.4561,-30.073,-16.598
-8.4536,-30.078,-16.51
-8.4517,-30.083,-16.423
-8.4504,-30.09,-16.335
-8.4497,-30.097,-16.248
