1,2.3148
2,2.2251
3,2.1648
4,2.1273
5,2.1072
6,2.1002
7,2.103
8,2.1131
9,2.1131
10,2.0856
11,2.0632
12,2.0454
13,2.0314
14,2.0209
15,2.0136
16,2.009
17,2.0069
18,2.0072
19,2.0096
20,2.014
21,2.0094
22,2.006
23,2.0046
24,2.0052
25,2.0077
26,2.0119
27,2.0219
28,2.0415
29,2.0266
30,2.0017
31,1.983
32,1.9701
33,1.9626
34,1.9599
35,1.9616
36,1.9638
37,1.9536
38,1.9457
39,1.939
40,1.9352
41,1.9353
42,1.9388
43,1.9457
44,1.9557
45,1.9687
46,1.9844
47,2.0029
48,2.0282
49,2.0568
50,2.0764
51,2.081
52,2.0892
53,2.1009
54,2.1004
55,2.0958
56,2.0951
57,2.0982
58,2.0945
59,2.0694
60,2.0481
61,2.0293
62,2.0143
63,2.0037
64,1.9971
65,1.9945
66,1.9955
67,2.0006
68,2.0094
69,2.0217
70,2.0312
71,2.0251
72,2.022
73,2.0224
74,2.0261
75,2.0329
76,2.0429
77,2.0565
78,2.0731
79,2.0925
80,2.1145
81,2.1295
82,2.1324
83,2.1375
84,2.1449
85,2.1546
86,2.1666
87,2.1807
88,2.1967
89,2.2151
90,2.2357
91,2.258
92,2.2821
93,2.2787
94,2.2666
95,2.2497
96,2.2351
97,2.2228
98,2.2131
99,2.2059
100,2.2011
101,2.1989
102,2.1992
103,2.2021
104,2.1877
105,2.1627
106,2.1418
107,2.1249
108,2.1124
109,2.1042
110,2.1002
111,2.1007
112,2.1055
113,2.1147
114,2.128
115,2.1455
116,2.1616
117,2.1645
118,2.1716
119,2.183
120,2.1706
121,2.1574
122,2.147
123,2.1395
124,2.1346
125,2.1324
126,2.133
127,2.1363
128,2.1422
129,2.1439
130,2.1411
131,2.1408
132,2.1429
133,2.1475
134,2.1455
135,2.1316
136,2.12
137,2.1107
138,2.1038
139,2.0993
140,2.0971
141,2.0974
142,2.1
143,2.105
144,2.1124
145,2.1221
146,2.1341
147,2.1484
148,2.1648
149,2.1835
150,2.2042
151,2.227
152,2.2518
153,2.2784
154,2.2899
155,2.2883
156,2.2853
157,2.2802
158,2.2772
159,2.2762
160,2.2772
161,2.2802
162,2.2852
163,2.2921
164,2.3009
165,2.3116
166,2.324
167,2.3382
168,2.3541
169,2.3716
170,2.3906
171,2.4112
172,2.4332
173,2.4565
174,2.4812
